,02_02_2022,02_01_2022
Altenberge,832,820
Emsdetten,3201,3124
Greven,3603,3497
Hopsten,667,647
Hörstel,1953,1916
Horstmar,512,493
Ibbenbüren,5005,4864
Ladbergen,467,448
Laer,511,483
Lengerich,2912,2847
Lienen,864,826
Lotte,1669,1620
Metelen,564,553
Mettingen,1254,1210
Neuenkirchen,1449,1409
Nordwalde,1011,973
Ochtrup,2309,2202
Recke,1095,1075
Rheine,8214,8032
Saerbeck,618,592
Steinfurt,3356,3265
Tecklenburg,635,622
Westerkappeln,1028,997
Wettringen,980,958
