,12_11_2021,12_10_2021
Altenberge,545,538
Emsdetten,2020,2009
Greven,2201,2192
Hopsten,438,438
Hörstel,1129,1123
Horstmar,344,342
Ibbenbüren,2986,2958
Ladbergen,282,281
Laer,301,298
Lengerich,1872,1867
Lienen,457,450
Lotte,970,961
Metelen,382,382
Mettingen,723,720
Neuenkirchen,806,798
Nordwalde,636,612
Ochtrup,1296,1295
Recke,711,700
Rheine,4780,4756
Saerbeck,260,258
Steinfurt,2036,2014
Tecklenburg,381,379
Westerkappeln,584,579
Wettringen,561,556
