,11_30_2021,11_29_2021
Altenberge,493,490
Emsdetten,1901,1897
Greven,2098,2076
Hopsten,415,411
Hörstel,1048,1042
Horstmar,327,327
Ibbenbüren,2728,2708
Ladbergen,267,266
Laer,276,270
Lengerich,1738,1722
Lienen,415,411
Lotte,897,882
Metelen,354,352
Mettingen,673,669
Neuenkirchen,740,730
Nordwalde,561,557
Ochtrup,1219,1204
Recke,647,638
Rheine,4491,4454
Saerbeck,252,252
Steinfurt,1842,1822
Tecklenburg,366,364
Westerkappeln,533,530
Wettringen,431,419
