,12_02_2021,12_01_2021
Altenberge,500,497
Emsdetten,1933,1923
Greven,2131,2115
Hopsten,426,417
Hörstel,1068,1060
Horstmar,332,331
Ibbenbüren,2784,2750
Ladbergen,272,270
Laer,280,279
Lengerich,1768,1752
Lienen,429,421
Lotte,921,912
Metelen,366,364
Mettingen,682,675
Neuenkirchen,756,745
Nordwalde,570,565
Ochtrup,1239,1229
Recke,660,654
Rheine,4561,4525
Saerbeck,252,252
Steinfurt,1885,1874
Tecklenburg,374,367
Westerkappeln,546,541
Wettringen,463,447
