,10_04_2021,10_03_2021
Altenberge,427,427
Emsdetten,1606,1605
Greven,1779,1778
Hopsten,342,341
Hörstel,854,854
Horstmar,247,247
Ibbenbüren,2193,2193
Ladbergen,218,219
Laer,214,213
Lengerich,1398,1398
Lienen,275,275
Lotte,663,662
Metelen,303,303
Mettingen,570,570
Neuenkirchen,542,540
Nordwalde,506,505
Ochtrup,975,975
Recke,543,543
Rheine,3659,3656
Saerbeck,213,213
Steinfurt,1453,1449
Tecklenburg,315,315
Westerkappeln,424,424
Wettringen,311,311
