,06_10_2021,06_09_2021
Altenberge,385,385
Emsdetten,1403,1402
Greven,1473,1474
Hopsten,325,325
Hörstel,760,762
Horstmar,203,203
Ibbenbüren,1865,1864
Ladbergen,189,189
Laer,196,196
Lengerich,1117,1117
Lienen,229,229
Lotte,561,562
Metelen,265,265
Mettingen,526,526
Neuenkirchen,459,459
Nordwalde,436,436
Ochtrup,786,786
Recke,499,499
Rheine,2980,2982
Saerbeck,187,187
Steinfurt,1199,1200
Tecklenburg,284,284
Westerkappeln,361,362
Wettringen,292,292
