,12_30_2021,12_29_2021
Altenberge,601,599
Emsdetten,2211,2200
Greven,2391,2374
Hopsten,484,482
Hörstel,1279,1261
Horstmar,371,369
Ibbenbüren,3336,3320
Ladbergen,297,297
Laer,343,342
Lengerich,2025,2016
Lienen,536,530
Lotte,1071,1062
Metelen,403,398
Mettingen,765,765
Neuenkirchen,903,896
Nordwalde,710,704
Ochtrup,1385,1377
Recke,758,758
Rheine,5317,5256
Saerbeck,311,301
Steinfurt,2271,2263
Tecklenburg,412,409
Westerkappeln,631,629
Wettringen,618,617
