,12_12_2021,12_11_2021
Altenberge,546,545
Emsdetten,2026,2020
Greven,2205,2201
Hopsten,438,438
Hörstel,1133,1129
Horstmar,345,344
Ibbenbüren,2994,2986
Ladbergen,283,282
Laer,301,301
Lengerich,1875,1872
Lienen,459,457
Lotte,976,970
Metelen,382,382
Mettingen,725,723
Neuenkirchen,806,806
Nordwalde,638,636
Ochtrup,1296,1296
Recke,713,711
Rheine,4787,4780
Saerbeck,260,260
Steinfurt,2037,2036
Tecklenburg,383,381
Westerkappeln,586,584
Wettringen,562,561
