,01_16_2022,01_15_2022
Altenberge,703,703
Emsdetten,2523,2507
Greven,2790,2780
Hopsten,531,530
Hörstel,1499,1477
Horstmar,438,437
Ibbenbüren,3873,3853
Ladbergen,339,338
Laer,401,401
Lengerich,2240,2228
Lienen,611,610
Lotte,1211,1206
Metelen,465,465
Mettingen,867,858
Neuenkirchen,1054,1049
Nordwalde,802,795
Ochtrup,1672,1667
Recke,839,838
Rheine,6348,6301
Saerbeck,419,416
Steinfurt,2668,2665
Tecklenburg,500,497
Westerkappeln,709,708
Wettringen,693,693
