,01_09_2022,01_08_2022
Altenberge,658,656
Emsdetten,2336,2328
Greven,2613,2604
Hopsten,508,508
Hörstel,1370,1365
Horstmar,412,409
Ibbenbüren,3622,3613
Ladbergen,319,318
Laer,377,372
Lengerich,2112,2105
Lienen,583,578
Lotte,1146,1142
Metelen,442,440
Mettingen,805,804
Neuenkirchen,978,977
Nordwalde,764,760
Ochtrup,1538,1536
Recke,785,785
Rheine,5880,5864
Saerbeck,367,366
Steinfurt,2459,2446
Tecklenburg,449,448
Westerkappeln,669,664
Wettringen,658,657
