,Gesamtfallzahlen,neu
Bedburg,1682,24
Bergheim,5603,62
Brühl,3631,45
Elsdorf,1598,14
Erftstadt,3150,37
Frechen,4556,55
Hürth,5766,61
Kerpen,5618,68
Pulheim,3741,50
Wesseling,3775,56
