,Gesamtfallzahlen,neu
Bedburg,1157,5
Bergheim,3828,10
Brühl,2532,5
Elsdorf,1061,7
Erftstadt,2152,14
Frechen,3152,25
Hürth,3577,39
Kerpen,3926,26
Pulheim,2247,13
Wesseling,2655,5
