,Gesamtfallzahlen,neu
Bedburg,2089,61
Bergheim,6888,184
Brühl,4510,117
Elsdorf,1968,48
Erftstadt,3925,84
Frechen,5621,137
Hürth,7051,161
Kerpen,6976,171
Pulheim,4441,83
Wesseling,4807,158
