,Gesamtfallzahlen,neu
Bedburg,1517,8
Bergheim,4948,13
Brühl,3095,9
Elsdorf,1401,1
Erftstadt,2765,10
Frechen,3944,9
Hürth,4897,31
Kerpen,4952,23
Pulheim,3179,23
Wesseling,3278,12
