,Gesamtfallzahlen,neu
Bedburg,1542,6
Bergheim,5039,20
Brühl,3167,21
Elsdorf,1420,6
Erftstadt,2802,11
Frechen,4033,23
Hürth,5051,40
Kerpen,5031,27
Pulheim,3260,18
Wesseling,3331,12
