,Gesamtfallzahlen,neu
Bedburg,989,5
Bergheim,3063,7
Brühl,2173,3
Elsdorf,880,4
Erftstadt,1703,3
Frechen,2574,8
Hürth,2867,3
Kerpen,3114,7
Pulheim,1833,10
Wesseling,2225,3
