,Gesamtfallzahlen,neu
Bedburg,953,2
Bergheim,2867,1
Brühl,2073,3
Elsdorf,840,0
Erftstadt,1625,2
Frechen,2447,1
Hürth,2741,3
Kerpen,2934,5
Pulheim,1731,2
Wesseling,2100,2
