,Gesamtfallzahlen,neu
Bedburg,1039,3
Bergheim,3303,8
Brühl,2281,2
Elsdorf,962,8
Erftstadt,1805,5
Frechen,2728,4
Hürth,3002,5
Kerpen,3349,7
Pulheim,1920,1
Wesseling,2359,2
