,Gesamtfallzahlen,neu
Bedburg,946,1
Bergheim,2831,1
Brühl,2043,1
Elsdorf,831,0
Erftstadt,1599,1
Frechen,2424,0
Hürth,2707,0
Kerpen,2895,0
Pulheim,1709,2
Wesseling,2070,4
