,Gesamtfallzahlen,neu
Bedburg,1102,3
Bergheim,3629,12
Brühl,2397,4
Elsdorf,1022,0
Erftstadt,1988,9
Frechen,2938,7
Hürth,3226,8
Kerpen,3652,12
Pulheim,2058,7
Wesseling,2561,3
