,Gesamtfallzahlen,neu
Bedburg,1161,4
Bergheim,3845,17
Brühl,2544,12
Elsdorf,1068,7
Erftstadt,2159,7
Frechen,3169,17
Hürth,3608,31
Kerpen,3946,20
Pulheim,2269,22
Wesseling,2664,9
