,Gesamtfallzahlen,neu
Bedburg,958,2
Bergheim,2879,7
Brühl,2087,1
Elsdorf,840,0
Erftstadt,1634,2
Frechen,2452,1
Hürth,2761,4
Kerpen,2949,6
Pulheim,1739,2
Wesseling,2119,6
