Kommune,Gesamtfallzahlen
Bedburg,942
Bergheim,2822
Brühl,2039
Elsdorf,830
Erftstadt,1598
Frechen,2423
Hürth,2703
Kerpen,2892
Pulheim,1702
Wesseling,2057
Rhein-Erft-Kreis,20008
