,Gesamtfallzahlen,neu
Bedburg,1501,5
Bergheim,4900,7
Brühl,3063,3
Elsdorf,1394,2
Erftstadt,2739,1
Frechen,3893,8
Hürth,4801,10
Kerpen,4885,15
Pulheim,3105,5
Wesseling,3242,5
