,Gesamtfallzahlen,neu
Bedburg,1813,26
Bergheim,6073,133
Brühl,3954,81
Elsdorf,1726,26
Erftstadt,3467,80
Frechen,4962,106
Hürth,6232,118
Kerpen,6090,116
Pulheim,4025,54
Wesseling,4227,111
