,Gesamtfallzahlen,neu
Bedburg,3354,56
Bergheim,10711,170
Brühl,7029,143
Elsdorf,3008,60
Erftstadt,6284,108
Frechen,8424,112
Hürth,10451,173
Kerpen,10537,141
Pulheim,6857,140
Wesseling,7111,90
