,Gesamtfallzahlen,neu
Bedburg,948,0
Bergheim,2847,0
Brühl,2064,0
Elsdorf,831,0
Erftstadt,1606,0
Frechen,2438,0
Hürth,2720,3
Kerpen,2912,1
Pulheim,1718,0
Wesseling,2082,2
