,Gesamtfallzahlen,neu
Bedburg,1415,11
Bergheim,4597,38
Brühl,2902,15
Elsdorf,1314,5
Erftstadt,2554,22
Frechen,3689,17
Hürth,4463,31
Kerpen,4604,40
Pulheim,2849,43
Wesseling,3062,23
