,Gesamtfallzahlen,neu
Bedburg,1096,0
Bergheim,3604,9
Brühl,2386,4
Elsdorf,1021,0
Erftstadt,1961,12
Frechen,2916,3
Hürth,3200,6
Kerpen,3613,12
Pulheim,2042,2
Wesseling,2551,5
