,Gesamtfallzahlen,neu
Bedburg,1468,9
Bergheim,4812,19
Brühl,3018,22
Elsdorf,1361,7
Erftstadt,2693,16
Frechen,3821,17
Hürth,4707,27
Kerpen,4784,24
Pulheim,3046,19
Wesseling,3179,20
