,Gesamtfallzahlen,neu
Bedburg,1096,2
Bergheim,3595,9
Brühl,2382,11
Elsdorf,1021,2
Erftstadt,1949,19
Frechen,2913,4
Hürth,3194,7
Kerpen,3601,11
Pulheim,2040,4
Wesseling,2546,2
