,Gesamtfallzahlen,neu
Bedburg,2590,166
Bergheim,8207,352
Brühl,5327,195
Elsdorf,2340,81
Erftstadt,4674,207
Frechen,6639,241
Hürth,8263,256
Kerpen,8195,304
Pulheim,5219,181
Wesseling,5679,183
