,Gesamtfallzahlen,neu
Bedburg,1054,0
Bergheim,3426,5
Brühl,2323,2
Elsdorf,988,3
Erftstadt,1860,3
Frechen,2801,6
Hürth,3082,6
Kerpen,3444,10
Pulheim,1966,5
Wesseling,2438,7
