,Gesamtfallzahlen,neu
Bedburg,1083,0
Bergheim,3532,7
Brühl,2353,1
Elsdorf,1005,0
Erftstadt,1901,5
Frechen,2875,7
Hürth,3152,10
Kerpen,3538,6
Pulheim,2011,1
Wesseling,2519,6
