Kommune,Gesamtfallzahlen
Bedburg,938
Bergheim,2807
Brühl,2020
Elsdorf,830
Erftstadt,1597
Frechen,2416
Hürth,2690
Kerpen,2887
Pulheim,1695
Wesseling,2046
Rhein-Erft-Kreis,19926
