,Gesamtfallzahlen,neu
Bedburg,1070,3
Bergheim,3473,12
Brühl,2339,5
Elsdorf,999,1
Erftstadt,1878,2
Frechen,2832,6
Hürth,3127,18
Kerpen,3506,8
Pulheim,1991,2
Wesseling,2474,5
