,Gesamtfallzahlen,neu
Bedburg,948,0
Bergheim,2840,0
Brühl,2054,3
Elsdorf,831,0
Erftstadt,1601,0
Frechen,2429,1
Hürth,2707,0
Kerpen,2899,0
Pulheim,1713,0
Wesseling,2073,1
