,Gesamtfallzahlen,neu
Bedburg,967,2
Bergheim,2920,8
Brühl,2120,1
Elsdorf,856,1
Erftstadt,1649,0
Frechen,2469,2
Hürth,2789,4
Kerpen,2986,12
Pulheim,1758,4
Wesseling,2147,2
