,Gesamtfallzahlen,neu
Bedburg,949,1
Bergheim,2849,0
Brühl,2067,3
Elsdorf,831,0
Erftstadt,1607,0
Frechen,2441,1
Hürth,2727,4
Kerpen,2914,1
Pulheim,1722,1
Wesseling,2088,6
