,Gesamtfallzahlen,neu
Bedburg,1086,1
Bergheim,3559,4
Brühl,2364,5
Elsdorf,1010,0
Erftstadt,1916,4
Frechen,2893,2
Hürth,3176,4
Kerpen,3565,6
Pulheim,2022,-1
Wesseling,2536,6
