,Gesamtfallzahlen,neu
Bedburg,955,2
Bergheim,2869,2
Brühl,2079,6
Elsdorf,840,0
Erftstadt,1626,1
Frechen,2450,3
Hürth,2747,6
Kerpen,2939,5
Pulheim,1734,3
Wesseling,2110,10
