,Gesamtfallzahlen,neu
Bedburg,1130,4
Bergheim,3724,3
Brühl,2434,5
Elsdorf,1038,2
Erftstadt,2055,3
Frechen,3021,14
Hürth,3367,9
Kerpen,3780,10
Pulheim,2136,13
Wesseling,2598,1
