,Gesamtfallzahlen,neu
Bedburg,2933,42
Bergheim,9367,199
Brühl,6013,123
Elsdorf,2643,64
Erftstadt,5414,159
Frechen,7441,113
Hürth,9260,185
Kerpen,9267,227
Pulheim,5871,104
Wesseling,6423,140
