,Gesamtfallzahlen,neu
Bedburg,1109,4
Bergheim,3652,12
Brühl,2407,7
Elsdorf,1026,2
Erftstadt,2001,4
Frechen,2966,9
Hürth,3260,13
Kerpen,3697,18
Pulheim,2082,13
Wesseling,2570,5
