,Gesamtfallzahlen,neu
Bedburg,989,0
Bergheim,3067,4
Brühl,2176,3
Elsdorf,882,2
Erftstadt,1704,1
Frechen,2574,0
Hürth,2870,3
Kerpen,3118,4
Pulheim,1833,0
Wesseling,2227,2
