,Gesamtfallzahlen,neu
Bedburg,1206,6
Bergheim,3987,28
Brühl,2609,12
Elsdorf,1113,8
Erftstadt,2242,6
Frechen,3260,17
Hürth,3818,32
Kerpen,4104,30
Pulheim,2381,23
Wesseling,2751,16
