,Gesamtfallzahlen,neu
Bedburg,3145,57
Bergheim,10031,226
Brühl,6494,107
Elsdorf,2819,60
Erftstadt,5838,135
Frechen,7901,146
Hürth,9813,134
Kerpen,9870,169
Pulheim,6325,144
Wesseling,6758,98
