,Gesamtfallzahlen,neu
Bedburg,1200,10
Bergheim,3959,28
Brühl,2597,15
Elsdorf,1105,9
Erftstadt,2236,19
Frechen,3243,26
Hürth,3786,29
Kerpen,4074,18
Pulheim,2358,14
Wesseling,2735,13
