,Gesamtfallzahlen,neu
Bedburg,1065,3
Bergheim,3455,8
Brühl,2332,4
Elsdorf,996,2
Erftstadt,1874,1
Frechen,2817,5
Hürth,3106,6
Kerpen,3486,6
Pulheim,1978,3
Wesseling,2468,7
