,Gesamtfallzahlen,neu
Bedburg,1152,1
Bergheim,3818,14
Brühl,2527,13
Elsdorf,1054,3
Erftstadt,2138,11
Frechen,3127,15
Hürth,3538,39
Kerpen,3900,27
Pulheim,2234,16
Wesseling,2650,7
