,Gesamtfallzahlen,neu
Bedburg,945,0
Bergheim,2830,0
Brühl,2042,1
Elsdorf,831,0
Erftstadt,1598,0
Frechen,2424,0
Hürth,2707,1
Kerpen,2895,1
Pulheim,1707,4
Wesseling,2066,0
