,Gesamtfallzahlen,neu
Bedburg,1425,10
Bergheim,4639,42
Brühl,2929,27
Elsdorf,1328,14
Erftstadt,2575,21
Frechen,3704,15
Hürth,4513,50
Kerpen,4643,39
Pulheim,2874,25
Wesseling,3087,25
