,Gesamtfallzahlen,neu
Bedburg,996,3
Bergheim,3119,4
Brühl,2203,8
Elsdorf,901,1
Erftstadt,1725,7
Frechen,2600,3
Hürth,2896,5
Kerpen,3169,10
Pulheim,1855,6
Wesseling,2273,15
