,Gesamtfallzahlen,neu
Bedburg,3192,47
Bergheim,10275,244
Brühl,6685,191
Elsdorf,2875,56
Erftstadt,6007,169
Frechen,8117,216
Hürth,10032,219
Kerpen,10155,285
Pulheim,6507,182
Wesseling,6888,130
