,Gesamtfallzahlen,neu
Bedburg,959,1
Bergheim,2896,4
Brühl,2103,3
Elsdorf,846,3
Erftstadt,1642,1
Frechen,2458,1
Hürth,2778,6
Kerpen,2964,5
Pulheim,1744,0
Wesseling,2133,3
