Kommune,Gesamtfallzahlen
Bedburg,925
Bergheim,2797
Brühl,2000
Elsdorf,827
Erftstadt,1589
Frechen,2403
Hürth,2668
Kerpen,2882
Pulheim,1685
Wesseling,2035
Rhein-Erft-Kreis,19811
