,Gesamtfallzahlen,neu
Bedburg,968,1
Bergheim,2925,5
Brühl,2123,3
Elsdorf,857,1
Erftstadt,1649,0
Frechen,2475,6
Hürth,2794,5
Kerpen,2996,10
Pulheim,1758,0
Wesseling,2149,2
