,Gesamtfallzahlen,neu
Bedburg,2424,56
Bergheim,7855,163
Brühl,5132,134
Elsdorf,2259,54
Erftstadt,4467,118
Frechen,6398,173
Hürth,8007,198
Kerpen,7891,173
Pulheim,5038,155
Wesseling,5496,154
