,Gesamtfallzahlen,neu
Bedburg,1047,2
Bergheim,3365,10
Brühl,2305,7
Elsdorf,979,1
Erftstadt,1839,9
Frechen,2768,9
Hürth,3051,4
Kerpen,3395,3
Pulheim,1947,4
Wesseling,2393,9
