,Gesamtfallzahlen,neu
Bedburg,1181,8
Bergheim,3893,23
Brühl,2568,12
Elsdorf,1086,4
Erftstadt,2191,15
Frechen,3200,9
Hürth,3710,35
Kerpen,4028,31
Pulheim,2315,21
Wesseling,2708,15
