,Gesamtfallzahlen,neu
Bedburg,1022,3
Bergheim,3246,18
Brühl,2257,6
Elsdorf,940,8
Erftstadt,1779,6
Frechen,2697,5
Hürth,2979,10
Kerpen,3295,11
Pulheim,1903,3
Wesseling,2342,11
