,Gesamtfallzahlen,neu
Bedburg,968,0
Bergheim,2936,11
Brühl,2124,1
Elsdorf,858,1
Erftstadt,1652,3
Frechen,2477,2
Hürth,2796,2
Kerpen,3003,7
Pulheim,1765,7
Wesseling,2154,5
