,Gesamtfallzahlen,neu
Bedburg,977,0
Bergheim,3002,6
Brühl,2143,5
Elsdorf,867,6
Erftstadt,1677,6
Frechen,2514,11
Hürth,2828,6
Kerpen,3049,10
Pulheim,1793,9
Wesseling,2188,4
