,Gesamtfallzahlen,neu
Bedburg,1057,3
Bergheim,3438,12
Brühl,2324,1
Elsdorf,989,1
Erftstadt,1865,5
Frechen,2804,3
Hürth,3088,6
Kerpen,3462,18
Pulheim,1970,4
Wesseling,2445,7
